mag_r,u-g,g-r,r-i,i-z,z_spec
18.811090,1.648907,1.724895,0.600590,0.312567,0.337496
18.993723,1.367275,1.855820,0.654446,0.452936,0.415112
18.638477,1.800178,1.620018,0.546934,0.389977,0.285563
17.708992,1.851500,1.277775,0.478569,0.329027,0.193814
18.362278,1.894569,1.568098,0.561934,0.344349,0.288989
18.827105,1.437738,1.615290,0.592594,0.368290,0.315340
18.578899,1.298077,1.675980,0.584431,0.384848,0.331633
19.237381,2.069542,1.764013,0.666864,0.390646,0.300254
19.423164,1.513737,1.706936,0.635597,0.412071,0.408420
18.004206,1.695045,1.471510,0.555609,0.355562,0.261681
17.932951,1.992784,1.548328,0.614042,0.414772,0.257675
19.087591,2.054256,1.717966,0.625202,0.387842,0.324775
17.658028,1.095209,1.255421,0.494831,0.303526,0.304610
20.247080,1.419872,1.426043,0.784660,0.244251,0.499316
18.129675,2.131771,1.498871,0.519154,0.285732,0.253084
18.483299,1.618832,1.646671,0.576447,0.382687,0.316540
18.378782,1.844307,1.555613,0.572811,0.355623,0.291974
19.996277,2.136629,1.688650,0.559645,0.282608,0.367753
19.090048,1.527704,1.683641,0.669090,0.330315,0.363980
18.722309,1.718384,1.587902,0.577520,0.405426,0.279746
17.659559,1.319477,1.287989,0.476807,0.312933,0.194970
18.816387,1.612669,1.704399,0.564775,0.384714,0.307787
19.022549,2.117621,1.858934,0.574148,0.376926,0.339943
17.433832,2.034569,1.308647,0.530630,0.396542,0.196872
18.710596,1.787624,1.846130,0.615917,0.370592,0.331729
17.781519,2.067768,1.394289,0.487690,0.308096,0.249283
16.783470,1.928141,1.283806,0.456371,0.368557,0.205168
19.387854,1.529820,1.786366,0.631483,0.369429,0.401355
18.270922,2.172676,1.610107,0.572430,0.385839,0.316790
18.722601,1.871391,1.738247,0.697229,0.311581,0.400351
18.240610,1.334517,1.547411,0.561049,0.325888,0.269125
18.590078,1.619320,1.610311,0.552385,0.363256,0.332565
18.630110,1.876606,1.765051,0.720709,0.461752,0.362850
18.512842,1.179911,1.595903,0.544720,0.386648,0.315672
20.128948,2.116770,1.535927,0.764019,0.347841,0.479739
17.874037,1.648291,1.507128,0.574816,0.365952,0.276049
17.167780,2.064831,1.242107,0.465729,0.371611,0.187361
18.682604,1.737379,1.782673,0.590021,0.339413,0.333071
19.181343,1.286045,1.729361,0.637608,0.267067,0.317201
18.162235,2.017624,1.523985,0.550343,0.381664,0.287503
17.352543,1.974817,1.315361,0.517462,0.328459,0.208347
18.104023,1.712921,1.489006,0.543346,0.375925,0.282549
17.391010,1.994986,1.286465,0.489119,0.372927,0.193984
18.802235,1.352295,1.839882,0.654766,0.339048,0.358371
19.926191,2.122202,1.571020,0.588676,0.346832,0.303286
18.297169,1.705091,1.392263,0.609970,0.419147,0.275265
19.230955,1.912788,1.734137,0.608763,0.347685,0.322821
18.694407,1.970606,1.714066,0.595098,0.348358,0.354658
18.534580,1.526848,1.551333,0.553387,0.421118,0.310384
17.742369,1.739014,1.390861,0.539799,0.403139,0.227200
18.548916,1.533804,1.807415,0.627823,0.325903,0.369017
17.034033,1.980829,1.239153,0.427298,0.370539,0.190991
18.808975,1.558197,1.776155,0.574371,0.203911,0.385491
18.890118,1.659237,1.673561,0.595791,0.420544,0.344504
17.918135,1.927221,1.388155,0.560537,0.352764,0.242583
17.502775,1.854946,1.206421,0.501375,0.386101,0.174240
19.095833,1.493402,1.823782,0.713551,0.330553,0.393340
20.024542,1.896772,1.253473,0.723520,0.285038,0.291052
17.382782,1.945272,1.334351,0.524309,0.285892,0.229292
18.504343,1.761129,1.791363,0.618582,0.336882,0.344915
17.362122,1.915382,1.301271,0.488821,0.308435,0.205919
18.729614,1.544365,1.636730,0.551670,0.363735,0.360856
19.644859,2.140938,1.746717,0.784067,0.420969,0.458010
17.300335,1.963211,1.212379,0.471313,0.406553,0.183837
17.272484,1.495304,1.605310,0.582043,0.321011,0.307653
19.488287,1.583189,1.777229,0.654816,0.491005,0.436901
18.944288,2.091660,1.670616,0.616302,0.446402,0.356515
20.697105,1.117378,1.228506,0.457142,0.323078,0.228242
20.089403,1.140606,1.224485,0.731150,0.313566,0.538237
18.960575,1.621139,1.622734,0.658623,0.433104,0.433452
18.355045,1.815382,1.775560,0.616293,0.392353,0.347389
19.003731,1.693073,1.833437,0.606445,0.396980,0.348738
18.641708,1.526138,1.654141,0.596008,0.436733,0.350344
19.380966,1.575888,1.773493,0.703794,0.338280,0.390567
18.390427,1.327934,1.614973,0.585064,0.356255,0.377522
18.392828,1.772556,1.467743,0.585884,0.411045,0.268559
18.465570,2.081514,1.538410,0.613413,0.319889,0.297903
19.135151,1.718164,1.771265,0.615381,0.304058,0.354211
18.677475,1.744654,1.513330,0.606674,0.318361,0.278586
18.675726,1.991024,1.654364,0.550190,0.319698,0.316255
16.699774,1.981037,1.465159,0.529346,0.362560,0.241052
17.458765,2.061831,1.210773,0.468599,0.312038,0.189657
18.077276,1.828510,1.493326,0.565952,0.393032,0.296989
20.587130,1.070799,1.673708,0.769304,0.357008,0.492911
19.585346,1.278526,1.832428,0.721422,0.430334,0.426782
17.873703,1.921675,1.348726,0.511150,0.355242,0.230493
17.711433,1.834686,1.268618,0.480345,0.280571,0.202783
17.879248,1.533089,1.670025,0.537701,0.461470,0.312353
17.150885,1.505617,1.218166,0.456202,0.354940,0.181926
18.197178,1.766993,1.484707,0.501047,0.333027,0.258942
19.081760,1.475584,1.790329,0.544373,0.431509,0.346884
18.160906,1.680868,1.777185,0.649988,0.347681,0.361772
20.076513,1.388746,1.469658,0.581358,0.366144,0.274659
18.223104,1.667736,1.509182,0.535234,0.375313,0.255004
18.757010,1.584513,1.573458,0.586849,0.341120,0.404556
17.691790,2.043768,1.285297,0.505415,0.374893,0.197644
18.644417,1.646954,1.753628,0.552980,0.321243,0.323479
20.200407,1.536234,1.752043,0.783712,0.411724,0.367592
18.990524,2.199884,1.707542,0.570818,0.394264,0.329254
17.618660,1.913466,1.228767,0.483751,0.340128,0.179527
17.967161,2.170033,1.390722,0.527842,0.306187,0.248771
18.935160,1.941208,1.727495,0.596857,0.442150,0.381763
17.968229,1.474180,1.308558,0.590027,0.356524,0.199312
18.824387,1.819040,1.806784,0.660854,0.319721,0.399998
19.086205,1.832604,1.721512,0.590950,0.326908,0.350924
19.428473,1.906387,1.835667,0.638636,0.303577,0.347306
17.797747,1.632025,1.269095,0.547844,0.337240,0.250234
19.567099,1.581265,1.500730,0.785091,0.476456,0.495353
18.460011,2.007334,1.299820,0.530207,0.378969,0.189997
17.650269,1.751486,1.380756,0.510666,0.324247,0.212517
18.938721,1.806818,1.648562,0.622890,0.396381,0.398001
17.943588,2.071941,1.367533,0.524563,0.339199,0.237281
17.524305,2.161923,1.298340,0.506903,0.278017,0.213098
18.871433,2.113152,1.589106,0.617498,0.400213,0.355165
19.232012,1.372923,1.785419,0.590315,0.321884,0.388625
17.704575,2.111263,1.388620,0.482254,0.359497,0.211478
17.627653,1.617174,1.238600,0.516703,0.326729,0.212825
17.549805,1.915579,1.334370,0.453705,0.377899,0.196469
18.797812,1.811682,1.629839,0.557125,0.315008,0.306024
19.791588,1.402744,1.240646,0.781372,0.211681,0.474900
19.314669,1.736185,1.835873,0.566303,0.367212,0.338031
18.749884,1.830925,1.449568,0.546057,0.451380,0.350335
18.131250,1.958542,1.511303,0.527342,0.333736,0.278311
17.851021,2.044056,1.279514,0.403646,0.327068,0.193462
17.645481,2.129820,1.345367,0.487780,0.367174,0.212921
18.783754,2.031485,1.677658,0.636276,0.267189,0.340953
20.178635,2.188780,1.467091,0.796011,0.298891,0.260895
20.246180,1.619402,1.825722,0.796360,0.405752,0.463626
18.077303,2.068661,1.568535,0.517950,0.345217,0.284908
19.321903,1.372814,1.768023,0.694033,0.419950,0.427127
19.071373,2.103487,1.816931,0.611124,0.329992,0.352278
20.395899,1.596443,1.208391,0.799747,0.485802,0.515614
20.233946,1.186434,1.811985,0.782227,0.337078,0.448362
19.714180,1.416544,1.201368,0.728735,0.389357,0.441106
18.188383,1.567192,1.850632,0.615250,0.447197,0.360089
19.121609,1.525669,1.705347,0.634939,0.375366,0.394781
18.021267,1.608562,1.497299,0.524921,0.402752,0.285281
17.604218,1.636986,1.242500,0.477957,0.396465,0.158379
17.587542,2.147915,1.275221,0.481995,0.326807,0.204035
17.642355,1.990665,1.311235,0.492310,0.285496,0.217351
19.329205,2.083483,1.663546,0.703955,0.278431,0.373678
19.085836,2.161446,1.722702,0.698009,0.410688,0.377119
18.282703,1.756155,1.688826,0.645130,0.450125,0.367813
19.511322,2.188015,1.245012,0.414322,0.344875,0.371059
17.235752,1.860071,1.326851,0.501865,0.351774,0.201488
17.226460,1.934528,1.217369,0.450787,0.272800,0.214143
19.106348,1.402636,1.748577,0.587330,0.439953,0.342805
17.964703,1.940435,1.400847,0.524971,0.292759,0.247236
17.488802,1.746195,1.200892,0.505630,0.326614,0.189758
17.394527,2.066547,1.292326,0.482254,0.303270,0.208466
19.009872,1.037403,1.783760,0.623007,0.363298,0.361369
19.322126,1.536953,1.750771,0.682518,0.330643,0.400274
18.308258,1.701942,1.488089,0.546631,0.351053,0.255060
20.101753,1.847347,1.504061,0.777702,0.275644,0.438134
18.969875,1.846937,1.749729,0.679407,0.382002,0.375540
18.006531,1.885635,1.378471,0.549158,0.339979,0.251825
18.778429,1.209253,1.653233,0.604090,0.380434,0.357337
19.501585,1.361042,1.819159,0.635288,0.311394,0.376421
16.979773,1.799475,1.203415,0.497747,0.408001,0.176181
