mag_r,u-g,g-r,r-i,i-z,z_spec
17.713032,1.697384,1.333889,0.540865,0.375463,0.263649
19.418999,1.977638,1.651934,0.650318,0.352049,0.414056
18.604794,1.177626,1.781288,0.576620,0.367416,0.362168
19.544243,1.565968,1.794697,0.788877,0.383831,0.483396
18.279736,1.740540,1.605301,0.549923,0.360434,0.306279
19.513866,1.741114,1.743082,0.670980,0.426428,0.448375
20.109818,1.117565,1.662470,0.776394,0.338419,0.516719
18.464495,1.413948,1.546106,0.550632,0.371538,0.262313
17.025669,1.955393,1.463867,0.523851,0.340261,0.232254
18.414259,1.883251,1.759352,0.689560,0.365864,0.383767
19.457966,2.031462,1.397766,0.792337,0.355206,0.451406
19.166433,2.113682,1.690477,0.633064,0.492384,0.408163
19.133392,1.899359,1.819931,0.735819,0.452005,0.447411
19.832661,1.628990,1.358576,0.744492,0.388712,0.483905
18.388029,1.040947,1.675520,0.543013,0.353657,0.289802
20.272690,1.000309,1.609028,0.793613,0.403463,0.551558
17.620195,1.819748,1.342041,0.509026,0.295597,0.227314
20.446001,1.345415,1.644194,0.778624,0.443222,0.502053
18.620043,1.799969,1.640057,0.533356,0.389492,0.305284
18.936451,1.510620,1.663462,0.608721,0.430494,0.367498
19.018644,1.621256,1.777981,0.627829,0.387463,0.362171
18.341228,1.390583,1.543884,0.582441,0.357302,0.271839
19.327005,1.267252,1.803278,0.639288,0.416157,0.396049
19.031561,1.983852,1.680340,0.636467,0.429331,0.390421
17.297098,1.831335,1.337643,0.528494,0.360762,0.218665
17.436384,1.760855,1.237820,0.467819,0.297134,0.191857
18.813845,1.193029,1.838053,0.653881,0.454924,0.400049
20.541698,1.563999,1.559279,0.783768,0.400999,0.468414
18.739855,1.578375,1.637850,0.620726,0.367746,0.311522
18.990511,1.332628,1.650295,0.607244,0.378574,0.301892
19.431673,1.358972,1.767807,0.673992,0.414583,0.424628
18.138739,1.798469,1.429619,0.531244,0.391617,0.240163
18.968430,1.204048,1.690462,0.633785,0.389347,0.392181
18.855412,1.953894,1.600426,0.634188,0.343910,0.365972
18.045502,2.146042,1.786402,0.617615,0.315567,0.345096
17.818697,1.465794,1.432758,0.480732,0.339184,0.250711
20.424360,2.032061,1.432676,0.734571,0.355942,0.423384
18.814980,1.307692,1.814741,0.676226,0.334837,0.345326
19.481644,1.567331,1.826830,0.766401,0.411188,0.445835
20.424530,1.524452,1.596542,0.798687,0.298437,0.516484
20.354090,2.113579,1.472286,0.751949,0.285685,0.474657
17.631769,1.477108,1.467709,0.562267,0.349386,0.272300
19.164099,1.569862,1.718784,0.661161,0.378300,0.399241
19.373007,1.800770,1.822578,0.627026,0.368258,0.393176
18.958128,1.526123,1.712652,0.587940,0.393421,0.383095
16.942823,2.043026,1.284504,0.480436,0.321697,0.189086
20.157263,1.584526,1.698769,0.780136,0.436510,0.464370
18.175388,2.134815,1.509842,0.541483,0.303680,0.250310
19.421286,1.916378,1.761194,0.772341,0.454929,0.448817
18.085669,1.840128,1.407303,0.512283,0.328627,0.235075
17.818119,2.007585,1.303104,0.511894,0.302704,0.201358
18.920094,1.593576,1.635696,0.584261,0.416868,0.317186
19.361511,1.896019,1.643581,0.752317,0.260164,0.424818
20.346188,1.491745,1.448627,0.760315,0.401161,0.446014
19.131201,1.571234,1.942427,0.730227,0.441786,0.427174
19.057919,1.696899,1.673119,0.651424,0.319098,0.334613
18.009329,1.610134,1.487131,0.551773,0.392141,0.256737
17.356171,1.814175,1.223417,0.498365,0.330248,0.200168
18.049427,1.792206,1.609732,0.579615,0.362120,0.297906
18.542755,1.538591,1.640047,0.609243,0.370831,0.325224
20.324041,2.153513,1.712194,0.785608,0.471992,0.488415
18.561859,1.516746,1.539406,0.569016,0.379045,0.289524
19.443733,1.211058,1.917627,0.600191,0.462486,0.347447
18.960999,1.135410,1.678743,0.641018,0.243769,0.382724
19.504883,1.102955,1.667332,0.709921,0.315266,0.421991
17.476274,1.991068,1.211573,0.500492,0.344675,0.182754
18.811598,1.776899,1.593761,0.639912,0.408329,0.254803
18.418293,1.679302,1.581514,0.552177,0.301907,0.314468
19.300230,1.478653,1.680271,0.656569,0.414742,0.400806
18.599201,1.991880,1.490255,0.600193,0.386799,0.256567
19.155027,1.226963,1.255632,0.796766,0.406328,0.524796
19.311569,1.831270,1.776939,0.701376,0.417747,0.443372
20.619835,1.652445,1.577114,0.785437,0.447220,0.510434
19.973509,1.775467,1.541092,0.747934,0.488380,0.404087
18.225080,1.704886,1.678894,0.566801,0.307201,0.304231
19.246103,1.073557,1.734503,0.633835,0.342909,0.382015
18.810030,1.314173,1.590874,0.596256,0.384098,0.319480
18.598778,2.167810,1.536093,0.604151,0.406050,0.263371
17.659103,1.549135,1.290621,0.500408,0.314650,0.250266
17.518116,2.097342,1.350636,0.527346,0.369528,0.233753
20.058250,1.948786,1.484928,0.788799,0.386127,0.459074
17.782660,1.859362,1.447882,0.523615,0.414099,0.200411
19.537298,1.164913,1.652294,0.773722,0.343861,0.425444
19.065994,1.789349,1.673018,0.643332,0.361860,0.379089
18.479109,1.764908,1.494520,0.638235,0.404106,0.304421
17.483673,2.070496,1.348646,0.535248,0.303436,0.213552
19.435295,1.828321,1.769396,0.681650,0.466116,0.402269
18.937922,2.066055,1.684183,0.599192,0.401808,0.336510
18.208160,1.679834,1.498182,0.558897,0.337685,0.274088
18.981989,1.521149,1.847792,0.647018,0.456858,0.378748
18.238207,1.778498,1.573660,0.500965,0.382219,0.276344
20.228939,1.163320,1.379381,0.793339,0.373377,0.527098
18.996300,2.095890,1.606049,0.597904,0.369270,0.321432
17.619879,2.075333,1.295719,0.477770,0.345104,0.226927
19.929930,1.151527,1.776876,0.791748,0.494158,0.515307
16.835638,1.989311,1.242832,0.452999,0.357981,0.186213
20.318686,1.473516,1.485582,0.759483,0.405527,0.530940
18.702702,1.230890,1.764097,0.696556,0.406342,0.385089
18.423958,1.788118,1.602550,0.588108,0.343645,0.356839
18.475876,1.075005,1.685566,0.608791,0.341282,0.356831
18.130505,1.651638,1.484421,0.535576,0.283632,0.279240
18.025728,1.505688,1.445435,0.547253,0.313171,0.260571
18.990980,1.967077,1.545532,0.679300,0.476583,0.420815
19.074074,1.247276,1.591627,0.645348,0.435793,0.374736
18.485765,1.648865,1.526548,0.570684,0.337770,0.280897
18.883957,1.352995,1.671478,0.567951,0.386126,0.311921
18.829247,1.597378,1.736965,0.556438,0.354660,0.347435
18.227854,2.013994,1.522085,0.585693,0.399248,0.283347
18.585678,1.328753,1.461397,0.565401,0.373157,0.300438
17.884338,1.642839,1.291946,0.554066,0.377676,0.216372
19.224947,1.723288,1.759964,0.653261,0.345230,0.410076
17.500212,2.015589,1.266458,0.507395,0.340391,0.196713
19.865967,1.466400,1.676191,0.763424,0.465960,0.435736
17.898439,1.606548,1.782839,0.596325,0.385183,0.348480
19.287424,1.801710,1.680441,0.676970,0.461000,0.337472
17.535749,2.047420,1.258980,0.504759,0.330513,0.200165
17.558151,1.926859,1.610041,0.589613,0.338705,0.297174
17.456455,1.702690,1.353523,0.505028,0.337908,0.221893
18.528000,2.040709,1.582321,0.562132,0.314844,0.284293
19.554440,1.920591,1.759428,0.624537,0.425690,0.386557
19.438805,1.213169,1.827204,0.726744,0.369125,0.425619
17.965170,1.342506,1.715206,0.564644,0.411072,0.338626
18.800953,1.790342,1.613886,0.578758,0.302492,0.319460
17.262177,1.886658,1.234007,0.473063,0.345119,0.189299
18.151871,1.604637,1.378624,0.566147,0.414667,0.245678
19.118795,1.212252,1.823133,0.716341,0.445583,0.393173
17.742872,1.847233,1.395269,0.519409,0.317228,0.244520
18.424526,2.008974,1.584160,0.542807,0.363436,0.312964
17.476643,2.126635,1.456362,0.520628,0.348602,0.251767
16.553484,2.053158,1.298948,0.493071,0.347701,0.185460
18.383553,1.939323,1.560425,0.503700,0.319483,0.321890
18.635275,1.609566,1.649180,0.562979,0.367229,0.316013
17.346479,2.175011,1.273949,0.482182,0.330431,0.211680
18.651115,1.913996,1.609821,0.640064,0.399836,0.357653
19.256840,2.163710,1.773357,0.763939,0.391659,0.425360
18.800455,1.379797,1.559618,0.624239,0.392309,0.281466
17.747955,1.805059,1.356808,0.503551,0.321846,0.219258
18.523851,1.804413,1.711885,0.560417,0.388493,0.323620
19.321066,1.061083,1.797628,0.630487,0.368176,0.386448
17.763412,1.869320,1.461676,0.537510,0.302349,0.264664
18.791903,1.843695,1.679701,0.632982,0.448671,0.393079
19.463446,1.175957,1.925045,0.627829,0.434549,0.402984
19.009304,1.824171,1.703438,0.582186,0.383099,0.290287
19.068394,1.751600,1.746056,0.730354,0.453066,0.417129
20.247631,1.398529,1.600395,0.764235,0.328058,0.421393
17.828386,1.638203,1.324745,0.492548,0.342941,0.241940
18.959188,1.942554,1.884674,0.687773,0.412853,0.412203
19.239660,1.193218,1.895496,0.662479,0.407345,0.383009
18.754660,1.706118,1.758310,0.528898,0.461849,0.330873
17.567375,1.996340,1.324074,0.485662,0.309727,0.216590
18.688900,1.803171,1.508383,0.594177,0.430828,0.305614
18.517071,1.344547,1.614675,0.548082,0.385639,0.379426
18.201569,1.746164,1.430139,0.626781,0.341496,0.310252
19.174952,1.889090,1.719479,0.705858,0.418533,0.423496
18.265066,1.587282,1.798258,0.627611,0.403315,0.417544
18.025347,1.187601,1.807999,0.617659,0.374390,0.353836
19.465586,2.115038,1.854696,0.714813,0.330889,0.405544
19.403467,1.254616,1.844330,0.796179,0.393576,0.461173
17.720573,1.984158,1.242712,0.470787,0.319386,0.187598
19.279940,1.399603,1.804914,0.658083,0.426071,0.401890
17.805984,2.066355,1.294720,0.503592,0.347288,0.201816
17.323938,2.036106,1.538105,0.550890,0.351439,0.272583
17.612688,1.704874,1.236328,0.563498,0.385546,0.166497
18.184404,1.887379,1.538126,0.512075,0.339399,0.255715
20.362617,2.112646,1.505300,0.744934,0.272274,0.531299
17.648573,1.465050,1.532206,0.549881,0.295103,0.275884
17.985508,2.007570,1.447605,0.549368,0.383675,0.264561
18.174337,1.709715,1.466782,0.552076,0.394035,0.281690
17.430176,1.640478,1.320623,0.515358,0.351593,0.214050
17.838083,2.090639,1.371759,0.522377,0.297150,0.234214
19.033142,2.068039,1.645525,0.666019,0.405336,0.368025
18.495569,2.155357,1.512161,0.644852,0.355431,0.318582
18.100163,2.075714,1.433496,0.591410,0.311600,0.259267
19.893694,1.620251,1.315321,0.791498,0.360964,0.536003
16.686420,2.051662,1.268703,0.483694,0.374309,0.176754
20.283930,1.565697,1.379555,0.736559,0.483938,0.497220
18.773426,1.527018,1.636349,0.619762,0.420116,0.410034
19.317181,1.934452,1.680258,0.783661,0.393532,0.460087
19.189390,2.178936,1.785423,0.567060,0.372353,0.360150
19.586840,1.648748,1.822969,0.682579,0.424870,0.372155
20.236956,1.495649,1.483868,0.761650,0.313892,0.407853
18.780579,2.190193,1.581627,0.623711,0.376101,0.391900
17.274372,1.865973,1.448589,0.541582,0.381008,0.236153
18.413073,2.072172,1.639893,0.628199,0.306276,0.332766
19.091114,1.997761,1.604942,0.782133,0.415762,0.470440
18.466557,2.011282,1.768322,0.605080,0.398973,0.333713
19.173285,1.905600,1.794851,0.756651,0.425482,0.428092
17.890749,1.378611,1.386234,0.528816,0.324572,0.240349
17.763666,2.126226,1.716290,0.557457,0.315327,0.315004
18.670288,1.720707,1.555523,0.592937,0.300314,0.295030
16.485886,2.173487,1.263374,0.506289,0.355332,0.176534
19.256273,1.771181,1.702108,0.698641,0.441946,0.409400
18.425562,1.908659,1.610294,0.567905,0.344677,0.303153
20.309580,2.086489,1.241350,0.723722,0.391006,0.590725
19.338736,1.525709,1.716452,0.784767,0.414045,0.444776
18.637802,1.898611,1.512377,0.590349,0.249800,0.278880
18.474726,1.316023,1.644180,0.595325,0.339281,0.335086
18.959486,2.015755,1.647989,0.637676,0.385109,0.394388
19.015062,1.471685,1.844099,0.692413,0.451811,0.311047
18.565496,2.123064,1.461405,0.589130,0.284859,0.255178
18.406801,1.148138,1.713283,0.619738,0.394779,0.342391
18.439054,1.800879,1.566976,0.582567,0.395145,0.312382
18.084379,1.738201,1.588717,0.563820,0.354309,0.298540
18.871265,1.808853,1.920858,0.668779,0.247572,0.410894
18.377687,1.633339,1.990284,0.710964,0.267757,0.434176
18.900097,2.023695,1.672941,0.684551,0.429075,0.405633
18.723532,1.926241,1.653126,0.582619,0.307909,0.369955
17.551117,2.115877,1.437202,0.528450,0.309710,0.234473
20.690308,1.214676,1.278768,0.795189,0.375097,0.340442
18.447378,1.511238,1.526257,0.600512,0.340485,0.276248
17.972427,1.703260,1.397837,0.516537,0.308346,0.233152
18.652023,1.327230,1.658209,0.677557,0.357407,0.347806
18.768421,1.196175,1.643682,0.647068,0.398003,0.319681
19.095785,1.151369,1.842855,0.711624,0.449297,0.424425
19.070885,1.323727,1.890381,0.588564,0.495495,0.419308
18.783882,1.597284,1.595539,0.602703,0.381945,0.290682
18.792961,1.714870,1.701712,0.539877,0.395985,0.339543
18.684494,1.861437,1.721508,0.642433,0.384844,0.382410
20.209723,2.063791,1.769295,0.782896,0.454784,0.486708
17.690853,1.770493,1.337273,0.517359,0.313871,0.218074
20.015110,1.072924,1.555649,0.790873,0.481668,0.455861
18.658834,2.187262,1.706133,0.555645,0.351650,0.333165
19.049196,1.154877,1.798512,0.635349,0.412182,0.398526
19.556980,2.004303,1.935968,0.595821,0.417137,0.376398
18.255550,2.112373,1.595158,0.602980,0.344519,0.307849
19.397495,1.570764,1.791496,0.611801,0.495396,0.382673
18.119793,1.803457,1.326830,0.576263,0.440233,0.209048
19.487534,1.303864,1.855213,0.705729,0.433390,0.407278
19.526430,1.541954,1.768997,0.661297,0.411533,0.366861
18.835611,1.299387,1.834143,0.669954,0.350613,0.344976
19.367266,1.644285,1.665489,0.723171,0.230019,0.433304
18.227320,1.787165,1.597357,0.560808,0.410717,0.336946
18.231773,1.633234,1.538944,0.558041,0.442974,0.302383
18.061136,1.784784,1.506567,0.546913,0.413765,0.255342
19.076658,1.503492,1.701370,0.637957,0.400869,0.339840
18.681921,2.060762,1.817400,0.630091,0.423334,0.370617
18.790529,2.009289,1.671839,0.624258,0.329321,0.369888
19.002289,1.187714,1.701445,0.567659,0.386436,0.344414
18.023228,1.564545,1.348867,0.536478,0.319502,0.206091
19.043406,1.463118,1.730169,0.653730,0.431976,0.384909
17.691822,1.832804,1.429478,0.540707,0.364716,0.222267
18.506483,1.506510,1.669006,0.573191,0.409805,0.337506
19.481266,1.386219,1.929976,0.651861,0.399149,0.381865
19.012316,1.066935,1.860916,0.602869,0.494497,0.409451
17.560665,1.976057,1.318190,0.530012,0.331911,0.201058
19.760586,1.133446,1.386507,0.764065,0.417767,0.517501
17.481796,2.081585,1.279076,0.515013,0.323282,0.193474
19.069447,1.986074,1.714226,0.599798,0.492266,0.414429
17.746458,1.364346,1.746191,0.597609,0.430822,0.296355
17.854828,1.784737,1.633726,0.574301,0.356186,0.307594
18.601465,1.552017,1.403477,0.655651,0.414934,0.299981
17.560503,1.699785,1.242016,0.485304,0.312967,0.200543
17.239326,2.023037,1.286663,0.524599,0.384287,0.184662
18.555300,2.126451,1.785246,0.613655,0.332060,0.340502
17.804323,1.482952,1.455505,0.544901,0.343178,0.265403
18.687847,1.823162,1.720844,0.572710,0.408232,0.304504
18.846107,1.745182,1.616739,0.718584,0.414341,0.399676
20.459017,1.141150,1.217287,0.797375,0.335278,0.272168
18.214249,1.544628,1.761497,0.624149,0.433466,0.372483
18.606880,2.064800,1.704544,0.584803,0.307152,0.338000
18.042036,1.670055,1.336357,0.537447,0.323494,0.238093
18.945726,1.956781,1.750530,0.579390,0.391857,0.336750
17.088215,1.737968,1.237410,0.488897,0.353617,0.184227
19.405983,1.792309,1.883837,0.669699,0.375355,0.415958
17.389719,1.589685,1.212452,0.463938,0.321596,0.176777
18.935448,1.921331,1.687210,0.662754,0.449951,0.348715
18.445280,1.556169,1.615078,0.569447,0.388655,0.334707
18.756237,1.792044,1.720213,0.569590,0.415094,0.362908
17.644245,2.043812,1.214539,0.464151,0.388716,0.179583
16.602655,1.757116,1.305708,0.545551,0.351130,0.203508
18.057825,2.137579,1.425720,0.497807,0.310814,0.290715
17.574213,2.085821,1.542702,0.535072,0.307039,0.259034
19.283588,1.317625,1.877625,0.692217,0.427301,0.373461
19.367096,1.312584,1.353033,0.447729,0.346533,0.217457
17.691547,1.856567,1.322393,0.478495,0.381088,0.213107
20.206856,1.550879,1.271679,0.723497,0.370756,0.506819
20.100128,1.294645,1.407686,0.773884,0.486980,0.464779
17.372854,1.820183,1.319775,0.540894,0.337873,0.212834
20.236654,1.543816,1.722092,0.771397,0.405222,0.370733
18.438992,1.321917,1.546537,0.534157,0.357834,0.284978
18.120430,1.972918,1.623983,0.584066,0.244699,0.316219
18.106176,1.531832,1.496834,0.572952,0.455208,0.379616
19.487007,1.702025,1.821318,0.671446,0.346592,0.384382
18.510715,1.178085,1.811075,0.606569,0.397467,0.356219
18.028948,2.056324,1.523371,0.547874,0.363295,0.251288
18.127270,1.924528,1.492373,0.514292,0.353285,0.239648
18.963181,2.103949,1.770742,0.690201,0.394833,0.383498
18.729826,1.162989,1.512074,0.617922,0.307890,0.330561
17.774229,2.023247,1.778000,0.613531,0.305134,0.333783
20.102526,2.094723,1.639044,0.774080,0.427122,0.394657
18.771042,1.749991,1.790136,0.542488,0.337690,0.358386
18.823782,1.989018,1.695465,0.631054,0.424589,0.308845
19.441330,1.841215,1.804651,0.701530,0.499455,0.356349
19.388084,1.566975,1.802837,0.668821,0.424250,0.408787
17.167265,1.870495,1.274254,0.460047,0.398027,0.191020
17.983091,1.561127,1.753561,0.638079,0.342743,0.341774
18.630480,1.729744,1.656275,0.588554,0.390553,0.290039
18.551107,1.877108,1.497024,0.616764,0.422886,0.287991
17.706541,2.026556,1.511606,0.527134,0.349184,0.254324
18.685493,1.215057,1.624802,0.616282,0.499207,0.324738
18.035994,2.060625,1.243927,0.478933,0.321447,0.186842
18.214764,1.885326,1.474810,0.570551,0.357441,0.271699
17.684807,2.059513,1.325583,0.516678,0.286488,0.217828
17.299633,1.983906,1.212656,0.506786,0.387415,0.155865
18.710466,1.603783,1.559378,0.609394,0.351419,0.313924
19.310888,1.328928,1.819536,0.729351,0.434196,0.421166
18.463612,1.779406,1.598461,0.626974,0.389977,0.296660
19.852852,2.073828,1.417503,0.658899,0.382597,0.333779
