mag_r,u-g,g-r,r-i,i-z,z_spec
19.484692,1.078628,1.785883,0.677078,0.426802,0.421207
18.351297,1.302523,1.566277,0.575993,0.276581,0.338779
18.090321,2.051971,1.405096,0.594994,0.371515,0.259836
17.334311,1.956827,1.280659,0.480076,0.369232,0.182478
18.993418,1.669863,1.714315,0.637432,0.351906,0.345553
19.888512,1.903213,1.475653,0.740168,0.400982,0.447595
18.206367,1.554606,1.501408,0.624407,0.310204,0.292829
18.256430,2.098202,1.573402,0.563255,0.359293,0.278683
18.579775,1.848246,1.309912,0.374334,0.309877,0.280038
19.536543,1.389296,1.661406,0.746395,0.403521,0.435825
19.852228,1.810673,1.472368,0.792072,0.379704,0.505013
19.023113,2.084681,1.684797,0.629702,0.384813,0.345673
19.247391,1.993195,1.603025,0.760941,0.358402,0.439002
19.876114,1.542313,1.711269,0.787649,0.485603,0.459733
17.979231,2.130098,1.448233,0.554565,0.307144,0.276104
17.541035,2.078598,1.395756,0.529495,0.329613,0.240627
17.378506,2.041445,1.395163,0.496178,0.334360,0.209289
17.494490,1.991060,1.209913,0.463316,0.350655,0.183088
18.526823,1.505745,1.778748,0.610296,0.437546,0.326097
19.775076,1.257607,1.526844,0.799143,0.484869,0.460783
20.281675,2.197168,1.606445,0.766853,0.357130,0.435859
17.944632,1.906965,1.353466,0.502199,0.354929,0.211782
20.265625,1.282961,1.339325,0.750145,0.420532,0.497483
18.089157,1.994612,1.422564,0.535263,0.360373,0.232467
19.042721,1.788092,1.209299,0.711367,0.318937,0.232531
17.605736,1.456453,1.230839,0.547132,0.424562,0.167063
17.222120,2.113842,1.402222,0.517855,0.371349,0.227033
18.733614,2.135281,1.611784,0.600601,0.304806,0.281799
18.562277,1.309980,1.711548,0.597694,0.325523,0.364567
19.478697,1.263996,1.915573,0.606739,0.385010,0.338972
17.802069,2.173336,1.383371,0.539328,0.389120,0.271037
18.655073,1.992306,1.568985,0.559847,0.348511,0.320814
17.638294,2.059626,1.402691,0.510832,0.334690,0.214876
19.786222,1.970152,1.274868,0.764135,0.370169,0.645879
17.216465,1.915476,1.248718,0.459736,0.325932,0.189781
19.072903,1.831240,1.725689,0.701031,0.409964,0.393898
17.736044,1.708656,1.682018,0.569199,0.273792,0.310712
19.483604,1.777981,1.859575,0.640694,0.405941,0.437565
18.073139,1.992529,1.439440,0.521444,0.335297,0.267723
18.576967,2.107801,1.503416,0.573229,0.309900,0.281764
19.832663,2.167318,1.715927,0.799013,0.268999,0.459457
19.973038,2.062689,1.254875,0.745218,0.438620,0.515409
19.099159,1.319422,1.325764,0.474689,0.258993,0.228123
19.259016,1.258699,1.640955,0.772318,0.400898,0.477224
20.252964,1.934706,1.491001,0.499226,0.340672,0.383227
19.003839,2.097471,1.674141,0.588921,0.351103,0.325165
18.399965,1.476801,1.571541,0.580761,0.357279,0.291160
19.786980,1.007988,1.412037,0.732904,0.373674,0.493121
20.169317,1.726536,1.588757,0.765869,0.239609,0.402148
20.017679,1.034660,1.816980,0.799690,0.389160,0.460527
19.604450,1.901291,1.589048,0.787666,0.283741,0.441867
18.964014,1.353600,1.666260,0.603100,0.432798,0.327808
18.939194,1.191053,1.742088,0.562174,0.401529,0.370520
17.690199,2.013348,1.277723,0.507483,0.391321,0.196564
19.991589,1.621757,1.479778,0.746363,0.459913,0.596309
17.560556,1.966572,1.314068,0.512524,0.303223,0.212089
19.066742,2.076664,1.792213,0.639896,0.366146,0.358867
19.916321,2.084423,1.671083,0.760231,0.303658,0.425159
18.384108,2.046293,1.696850,0.575432,0.365765,0.322300
18.960737,1.172701,1.732468,0.541473,0.427181,0.364157
19.181446,1.543572,1.831993,0.586578,0.247303,0.337800
19.827995,1.426973,1.337427,0.786146,0.369373,0.318415
18.923885,2.164187,1.778212,0.636139,0.371817,0.327585
18.953196,1.482645,1.869827,0.595602,0.488232,0.328317
19.796114,1.653730,1.509352,0.781742,0.219185,0.530881
19.020727,1.100134,1.738337,0.620251,0.350067,0.346517
18.117027,2.114435,1.538923,0.562574,0.349419,0.291010
19.956533,2.114189,1.501358,0.785440,0.457663,0.503032
17.983370,1.855244,1.516607,0.526745,0.413860,0.283313
19.121660,2.053076,1.761389,0.639172,0.310595,0.382677
17.465696,1.952398,1.219494,0.467222,0.329567,0.200491
20.534096,1.993603,1.347366,0.793524,0.382565,0.509433
17.177683,1.963407,1.538017,0.547663,0.336508,0.253913
19.377966,1.983391,1.475140,0.787090,0.414587,0.436755
18.283108,1.482809,1.413248,0.586660,0.328798,0.270597
20.228619,1.361475,1.246407,0.708973,0.395710,0.476058
20.189529,1.480610,1.245495,0.717728,0.402206,0.571031
18.966562,1.316387,1.655064,0.778706,0.302912,0.474823
17.795359,2.069443,1.294100,0.510416,0.332914,0.192848
18.149805,1.769686,1.454668,0.540300,0.368698,0.331945
17.538542,1.860697,1.223305,0.460400,0.328884,0.171733
19.294350,2.027065,1.875036,0.645695,0.302704,0.406543
17.763872,2.136427,1.277813,0.501585,0.369299,0.193190
18.665791,1.721907,1.452106,0.670319,0.416197,0.251882
17.236168,2.021540,1.213677,0.478966,0.300783,0.175256
19.078409,1.827978,1.609776,0.721535,0.366098,0.424937
18.179462,1.601534,1.709250,0.608093,0.311764,0.341585
19.238577,2.004476,1.640305,0.667185,0.399458,0.367721
19.568079,1.931021,1.943825,0.631041,0.402739,0.398871
18.843681,2.142427,1.744846,0.619150,0.467596,0.403188
18.486710,1.985653,1.479385,0.583366,0.353495,0.258375
18.491220,2.193144,1.653725,0.550625,0.383167,0.355166
18.344362,1.398617,1.508373,0.584520,0.416252,0.350882
19.128590,1.578440,1.767889,0.614407,0.333982,0.392256
18.525024,1.974190,1.827951,0.655138,0.296749,0.357868
18.689777,1.906818,1.623158,0.642845,0.415287,0.308415
20.025204,1.467957,1.425152,0.730423,0.278460,0.454971
17.665222,1.852978,1.317694,0.512976,0.315109,0.217110
19.013983,2.045567,1.699442,0.735891,0.471342,0.421038
18.643358,2.070362,1.734602,0.589653,0.429087,0.359815
18.912121,1.126415,1.710321,0.575438,0.405121,0.284412
