mag_r,u-g,g-r,r-i,i-z,z_spec
20.822508,3.068039,1.790102,1.034426,0.365421,0.538925
20.940294,0.914131,1.282042,1.035229,0.418900,0.511092
20.602880,0.960388,1.729078,1.105753,0.416122,0.648279
19.979815,0.321812,1.340868,0.735241,0.357214,0.434733
16.662130,1.499069,0.917355,0.407135,0.285808,0.131011
20.851440,1.659279,1.563042,0.873217,0.547361,0.508943
15.462768,1.620773,0.723636,0.325253,0.244608,0.042267
19.908640,1.958425,1.708336,0.789896,0.538361,0.492503
20.426212,2.022570,1.700029,0.777781,0.505465,0.481628
20.502445,3.185936,2.365049,0.976295,0.583206,0.634351
20.773306,2.246441,1.313307,0.959387,0.241720,0.500477
19.059830,2.489639,1.746067,0.654238,0.363903,0.415989
20.723730,3.579390,1.783531,0.970547,0.466785,0.505923
20.268627,3.808983,1.796669,0.845901,0.250410,0.502433
17.035751,1.887074,0.939907,0.398304,0.330820,0.132131
15.065233,1.433599,0.661140,0.360737,0.281441,0.040616
20.167501,1.611887,1.672148,0.804968,0.471642,0.475453
21.031197,0.793650,1.062380,1.090349,0.381439,0.664911
18.044235,0.786671,0.301031,0.205948,0.103218,0.131137
17.710182,2.211859,0.816996,0.451563,0.322720,0.087912
19.568037,2.890518,1.844803,0.703730,0.298092,0.389821
19.553556,4.349152,1.794264,0.937540,0.599215,0.522834
21.224459,-0.682119,2.025305,1.354668,0.409250,0.670560
20.773405,-0.551598,2.158407,1.176914,0.474165,0.665693
15.802588,1.816442,0.909572,0.453465,0.301719,0.082411
19.550791,2.398537,1.873836,0.841635,0.498264,0.475599
21.016979,0.798182,1.704185,1.003939,0.313572,0.507577
20.512014,2.610680,1.531712,0.873926,0.427788,0.544324
20.228258,1.519321,1.504255,0.934225,0.526089,0.572363
18.792707,2.634563,1.858303,0.613388,0.443426,0.389077
21.870619,1.886791,0.281923,0.804884,-1.447712,0.260034
16.748072,0.868561,0.917326,0.388920,0.221027,0.164281
18.291023,2.506199,1.753933,0.609177,0.382586,0.322088
20.140955,1.602617,0.942986,0.833513,0.401583,0.690587
19.707539,0.550985,1.688292,0.806623,0.508665,0.465052
17.420670,1.542622,0.654919,0.334200,0.248598,0.074718
18.617485,1.568577,1.058773,0.465105,0.229010,0.192516
20.928591,2.365887,1.586695,1.012459,0.416725,0.538569
17.773382,1.792381,0.915184,0.497559,0.340160,0.091488
20.114111,0.501024,0.996031,0.697569,0.221214,0.526054
16.094307,1.204374,0.636429,0.362254,0.267849,0.036205
17.321884,1.057230,0.906616,0.394228,0.268272,0.136408
17.429865,2.222189,1.181335,0.450455,0.334969,0.173166
20.129675,4.294458,1.677473,0.901352,0.445915,0.506096
19.594477,2.334381,1.669609,0.732828,0.467125,0.458197
17.226128,1.488871,0.779032,0.439209,0.378792,0.077454
17.145508,1.349888,0.542725,0.348137,0.149080,0.070117
21.305929,-2.057642,2.584288,1.378326,0.691591,0.653587
17.666895,1.454328,0.729799,0.400669,0.260342,0.082570
20.417215,1.748112,1.446529,0.844772,0.561466,0.523890
16.964808,2.027847,1.178297,0.443647,0.344492,0.177830
20.747522,2.050369,1.762590,1.066862,0.259298,0.634802
19.634647,2.381041,1.525860,0.819174,0.317411,0.323722
15.824558,1.138416,0.530512,0.280910,0.036784,0.010182
20.319016,0.618614,1.542442,1.026236,0.537409,0.533169
20.608112,5.126129,1.062904,0.902506,0.508966,0.550578
16.006119,1.813784,0.836693,0.371012,0.298816,0.051751
20.112116,1.186047,1.650662,0.879976,0.387037,0.485452
17.045387,2.102835,0.972055,0.519785,0.308580,0.064966
21.163012,2.140528,0.165648,1.453005,0.666260,0.704224
20.729851,1.357317,2.138847,0.839556,0.439104,0.458176
21.176014,1.835947,0.954865,0.855207,0.473022,0.568147
20.126348,1.041414,1.033306,0.722946,0.413532,0.601330
15.408823,1.867319,0.901440,0.443810,0.368910,0.047767
20.323139,0.682732,1.704569,1.024582,0.375763,0.580501
19.821249,0.356956,1.398680,0.869022,0.428894,0.589038
17.470812,1.406824,0.671684,0.379198,0.212498,0.141923
19.611355,0.422791,0.013655,-0.012157,-0.001709,0.105574
19.617794,1.954285,1.620415,0.807692,0.402357,0.459957
20.372179,1.522188,1.553289,0.995689,0.542490,0.498772
18.400774,2.373671,1.393459,0.467615,0.318394,0.244432
17.417046,1.356661,0.703398,0.370049,0.206196,0.120599
15.892057,1.971914,0.912716,0.413204,0.312393,0.061389
20.345144,0.758951,1.664057,0.845329,0.430807,0.469370
19.428226,3.979782,1.880585,0.643198,0.452255,0.421777
19.218573,4.243759,1.822262,0.575424,0.374908,0.367852
20.468655,1.424547,1.589151,0.937893,0.553766,0.494264
17.293009,2.018108,1.195070,0.455858,0.410009,0.179389
15.954858,1.750170,0.842216,0.383018,0.303501,0.084568
17.002602,1.633471,0.882158,0.502563,0.449789,0.034054
19.732412,2.248026,1.576895,0.840994,0.368610,0.471756
21.312456,-0.094683,1.755049,1.141422,0.679733,0.579528
21.011902,0.803556,1.534943,1.242659,0.640369,0.620315
